disease,month,cases,pop,days,inc_day,tmean,tmean1,anom0,anom1,pandemic
Campylobacteriosis,2020-11-01,371,8709355,30,0.141992910688181,6.45714285714286,10.0142857142857,0.29010989010989,-1.56373626373626,TRUE
Salmonellosis,2020-11-01,90,8709355,30,0.0344457195739524,6.45714285714286,10.0142857142857,0.29010989010989,-1.56373626373626,TRUE
Campylobacteriosis,2020-12-01,457,8709355,31,0.169265525218239,3.01428571428571,6.45714285714286,-0.19010989010989,0.29010989010989,TRUE
Salmonellosis,2020-12-01,90,8709355,31,0.0333345673296313,3.01428571428571,6.45714285714286,-0.19010989010989,0.29010989010989,TRUE
Campylobacteriosis,2021-01-01,539,8778099,31,0.198073600835369,1.4,3.01428571428571,-0.838775510204082,-0.19010989010989,TRUE
Salmonellosis,2021-01-01,65,8778099,31,0.0238864268168813,1.4,3.01428571428571,-0.838775510204082,-0.19010989010989,TRUE
Campylobacteriosis,2021-02-01,331,8778099,28,0.134669574487922,4.65714285714286,1.4,0.781632653061225,-0.838775510204082,TRUE
Salmonellosis,2021-02-01,60,8778099,28,0.0244114032304391,4.65714285714286,1.4,0.781632653061225,-0.838775510204082,TRUE
Campylobacteriosis,2021-03-01,307,8778099,31,0.112817431273578,6.17142857142857,4.65714285714286,-0.592857142857143,0.781632653061225,TRUE
Salmonellosis,2021-03-01,65,8778099,31,0.0238864268168813,6.17142857142857,4.65714285714286,-0.592857142857143,0.781632653061225,TRUE
Campylobacteriosis,2021-04-01,252,8778099,30,0.0956927006633213,8.41428571428572,6.17142857142857,-2.13979591836735,-0.592857142857143,TRUE
